"n","method","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
10,"Sobol",0.100780913456802,0.101167767967632,0.100002712992971,0.101167771198986,0.101553151888849,0.110045071425212,0.100780912727264,0.110399467775935,0.110399468750186,0.0996113322894525,0.110045072199533,0.110045069089512,0.100002713716545,0.10078091511821,0.110399468375182,0.110045070919572,0.100002712811804,0.101167770460372,0.110045069572665,0.102700622561452,0.110045069269351,0.110045069853669,0.10116776729806,0.102700620401349,0.100780915171452,0.100002711877958,0.100002712957681,0.100002712772695,0.110399467397141,0.110399467698662
20,"Sobol",0.0565389115643718,0.0540667277356945,0.0540667272151148,0.0577353206624926,0.0544716102027304,0.054066726923082,0.0564092196017582,0.0551398083009183,0.0572682837146765,0.0549624170090087,0.0572682835427118,0.0586166038961633,0.0585749394377154,0.0572682836117892,0.0540667271612841,0.0565389109304624,0.0565389113067594,0.0572682836236518,0.0558874432177319,0.0540667277685905,0.0564092199459695,0.0544267723770237,0.0540667276292651,0.0551398089430036,0.0565389113981317,0.0558874431588809,0.0549624163430092,0.0551398083359688,0.0577353209664499,0.0577353205447636
30,"Sobol",0.0381374832492702,0.0383219733691156,0.0379234980293006,0.0379091888994021,0.0380377724252891,0.0380377715459433,0.0383219748095934,0.0384350655070243,0.0383644244246578,0.0381517082564087,0.0375063287493535,0.0379091900496423,0.0386040815194848,0.0379091891203386,0.0382653047212344,0.037346873061451,0.0374629096444342,0.0384773863909235,0.0374484240766443,0.0374484228314849,0.0373468720843105,0.0375785881639432,0.0379234993386691,0.0379091890260657,0.0380235087038358,0.0378088770684476,0.0379091898941229,0.0374484225164203,0.0381374851483105,0.0382653040227148
40,"Sobol",0.0288181738720199,0.0285789124287687,0.0299553106669229,0.0300214576717381,0.0299553107185289,0.0285094185601161,0.0288181737643037,0.0286908159617433,0.0306601573659897,0.0299145320644306,0.0286908161989156,0.0308041449204486,0.0300214578595349,0.0286908160727276,0.0292491292233563,0.0285789124498668,0.0292908341816085,0.0298481482033675,0.0293844538783255,0.0294000281442461,0.0298481481614331,0.029955310882079,0.0299145321540812,0.0294000282254887,0.0280399117674156,0.0293584784516755,0.029358478474524,0.0292908341882833,0.0281539578394377,0.0286908158186257
50,"Sobol",0.0256103937709024,0.0278087035651791,0.0260386522095521,0.0253545872906385,0.0275662133231147,0.0260836195298523,0.0253092923713162,0.0264738172537332,0.0256275464645164,0.0266062804505559,0.0255731894702565,0.0259795127297675,0.0257672071072404,0.0265870044977942,0.0262031518856198,0.0256037218222028,0.0265870052850556,0.0256494482915984,0.0262031516568778,0.026272937323108,0.0256608675527773,0.0262133989718834,0.0259889116736555,0.0255378424718987,0.0257216855822885,0.0254046114882861,0.0259889105134559,0.0255378407528291,0.0264839592694163,0.0272401376437075
60,"Sobol",0.0200003348428471,0.0194833396497639,0.0200967398652267,0.0198215192699594,0.0206755703107354,0.0201674800791423,0.0202513727009061,0.0208503147989736,0.0207001560599118,0.019981677048943,0.0204297455727566,0.0198215193418215,0.0201085475422865,0.0198215197550202,0.0194781169869486,0.0194781169819384,0.0198437452698666,0.0208324176441307,0.0205934060688539,0.0205505505289191,0.020462913387264,0.0207345271612478,0.0211682673009795,0.0205934060811619,0.0211858798865814,0.0201085468391625,0.0201085469847663,0.0207345270822051,0.0201674805262101,0.0207459715721321
70,"Sobol",0.0198071180576861,0.0190868537440759,0.0194334206707139,0.018800495873158,0.0189713194296033,0.0182105208087967,0.0194013460862124,0.0188851122449414,0.0192349898482208,0.0193537771237446,0.0189255498421023,0.0186567531904504,0.0192999637221904,0.0183430770007119,0.0192638662939193,0.0192906814104079,0.0201660953156021,0.0198506966893755,0.0197714751844479,0.0192608753246448,0.0187527330070337,0.0193073841338803,0.0189847741183576,0.0197097167610924,0.018654164984625,0.0187434310855468,0.0192392794480431,0.0191887156824026,0.0194449563504877,0.0188952507317775
80,"Sobol",0.0168750492199411,0.0152180946136222,0.0161449185670502,0.0162109416076641,0.0154981464708047,0.0156749731839098,0.0168428054112513,0.0166566222560981,0.0159164750179499,0.0170280730580509,0.0170280730374152,0.0166566222453935,0.0152105727360389,0.0167040762676602,0.0156749731956814,0.016144918615496,0.0160424026369627,0.0155356373571093,0.0158341754087721,0.0160667575029304,0.0156938223988777,0.0168025556138767,0.015210572665669,0.0169736602867944,0.0168925593383952,0.0152124535191839,0.0155276550777781,0.0167457018023024,0.0160424026587278,0.0162109415712569
90,"Sobol",0.0158784955977714,0.0154948720463827,0.0160006403948427,0.0155514832467211,0.0153485953116012,0.016157922820771,0.0152649073612058,0.0154500670503304,0.0158690033791654,0.0161707416908122,0.0161948971154634,0.016076281672163,0.0155824634694358,0.0164075310693978,0.0159397741020312,0.0162537066537822,0.0158796233117839,0.0159202036198533,0.0156814620147298,0.0166364799924613,0.015805186033053,0.0161474268073083,0.0169375044017792,0.0158984162891912,0.0156068040565001,0.0165119656329917,0.01634800700058,0.0154579297326438,0.0155038654445163,0.0161958269333548
100,"Sobol",0.0138758600720903,0.0136880868963317,0.0138758601947953,0.0138805872831233,0.0136254056878622,0.0134341315807317,0.0139206538395764,0.0138101648250857,0.0143650547138296,0.0138792689815045,0.014364736145453,0.0140066535608024,0.0134033156109371,0.0142431257885501,0.0133886214519643,0.0135995116120208,0.0136179001872394,0.013466804053285,0.0133356351400016,0.0141079280828709,0.014045382542363,0.0144193378029759,0.0140537451227944,0.0140346230795299,0.0140314695423698,0.0135440835066833,0.0135841314039271,0.0136648797555247,0.0137022363841149,0.0141295432176518
