"ev","IR.1","IR.2","IR.3","IR.4","MR.1","MR.2","MR.3","MR.4","IRR.1","IRR.2","IRR.3","IRR.4","MRR.1","MRR.2","MRR.3","MRR.4"
0.01,0.887201840437163,0.880315310788899,0.874668711599613,0.874668713416185,1,1,1,1,0.985873418802451,0.993585708302374,1,0.999999997923131,1,1,1,1
0.0113,0.872538079690737,0.86484858455083,0.858375644116761,0.858375690273131,1,1,1,1,0.983768690555035,0.992515521734441,1,0.999999946228241,1,1,1,1
0.0126,0.857874318953807,0.849402968612957,0.842082576615914,0.842083049670367,1,1,0.999999999999987,0.999999999999999,0.981592009471561,0.991381720729094,1,0.999999438233019,0.999999999999987,0.999999999999987,1,0.999999999999988
0.0139,0.843210558211932,0.833996221030071,0.82578950912666,0.825792203645971,0.999999999999973,1,0.999999999995611,0.999999999999525,0.979339621740252,0.990159773274183,1,0.999996737049225,0.999999999995638,0.999999999995611,1,0.999999999996086
0.0152,0.828546797468445,0.818653509272878,0.80949644171036,0.809506737368174,0.999999999995014,1,0.999999999644109,0.999999999944615,0.977007507824191,0.988814477115415,1,0.999987281566245,0.999999999649095,0.999999999644109,1,0.999999999699494
0.0165,0.813883036725611,0.80340671080612,0.793203375401312,0.793233074965084,0.999999999715497,1,0.999999989355791,0.999999997804762,0.974591359702621,0.987299912650007,1,0.99996255884341,0.999999989640294,0.999999989355791,1,0.999999991551029
0.0178,0.799219275982781,0.788289187221748,0.776910318158757,0.776980175169152,0.999999993083577,1,0.999999844571547,0.99999995996958,0.972086561855517,0.985565108278227,1,0.999910091643741,0.999999851487969,0.999999844571547,1,0.999999884601962
0.0191,0.78455551523995,0.773328490074541,0.760617308307111,0.76075842679717,0.999999910367773,0.999999999999991,0.999998662232518,0.999999588179313,0.969488192399593,0.983563024082813,1,0.999814502889369,0.999998751864632,0.999998662232527,1,0.999999074052823
0.0204,0.76989175449712,0.758541114307083,0.74432447449806,0.744578292756886,0.99999927689065,0.999999999999483,0.999992268374188,0.999997247459997,0.966791071797152,0.981257917941587,1,0.999659111390575,0.99999299147847,0.999992268374705,1,0.999995020900486
0.0217,0.755227993730962,0.743931211364607,0.728032143527401,0.72844916903103,0.999995945696718,0.999999999985112,0.999967086200525,0.999986787870036,0.963989880632989,0.978628309184606,1,0.999427515986896,0.999971140386802,0.999967086215413,1,0.999980298070185
