"n","method","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
10,"Sobol",0.857937482230601,0.850107814397241,0.854731733567538,0.847572414165919,0.8565279117944,0.850693455385855,0.849353040024856,0.844725701056013,0.850916121696137,0.851139072399039,0.849348061761146,0.842910427806141,0.852419732612892,0.850285752153065,0.843897773833738,0.843854798914432,0.853345540742481,0.847747384235643,0.840997996134247,0.858108303271748,0.849624746761127,0.840618171191228,0.84826061736895,0.858601498417205,0.861129373048657,0.854696247490103,0.853145944672986,0.852803660101309,0.85013390780498,0.856556672677326
20,"Sobol",0.848768394441066,0.852175255064361,0.852050796937516,0.848946696138187,0.851764771325672,0.851591356630179,0.847951854031777,0.849859262741071,0.84932451533058,0.85015277926159,0.852530644427164,0.850095665454351,0.849591064894467,0.849521323819861,0.852118753479657,0.852645977524548,0.852590262419851,0.848886709519582,0.849910417227361,0.852202269859587,0.847974736303014,0.851912499208639,0.852123985072675,0.850645377671926,0.848924576348828,0.854243399801766,0.850346809000543,0.85002297215679,0.848442275700836,0.852217064407512
30,"Sobol",0.853671491330811,0.850849054340238,0.851196882660244,0.851121063919756,0.849320561441593,0.849431730556367,0.850780510914061,0.850181573331269,0.853197603517019,0.852304146900764,0.85044113216111,0.852055638561893,0.853987016625661,0.852430592042796,0.851108091569037,0.851210303926804,0.852431640807328,0.849928648792044,0.853554021033313,0.852724405813875,0.850839985117433,0.850293074498641,0.850939539676342,0.852252771152476,0.850005696683403,0.849272711044072,0.851584375372538,0.853100251316707,0.849268181671031,0.851838004326585
40,"Sobol",0.851072006767278,0.851299990123642,0.851525957936387,0.850334086078931,0.85167163648336,0.851127522779307,0.85111318703196,0.851152375898316,0.851317103123711,0.850627682850866,0.851267113011109,0.849847014638516,0.850364277746494,0.851154821318292,0.85116650148938,0.851461616488511,0.851869957928231,0.851833671492868,0.851851077528091,0.8510503313876,0.850529830151567,0.851938614446045,0.850287497512962,0.851015370397601,0.85153140674407,0.850825820545985,0.850693374239361,0.85057271988092,0.851477426844223,0.851205504467253
50,"Sobol",0.85027429003545,0.853095873061252,0.85129957244874,0.850700423254926,0.851289970537174,0.850873364323768,0.851212078601307,0.851472567303241,0.851376909683769,0.84936435527427,0.851465213487077,0.849521956035307,0.851002937741595,0.851520016223493,0.851562668921445,0.850503682236182,0.851320936709219,0.850813036962534,0.851421945823145,0.851522554370145,0.851775886674667,0.85055892129311,0.850995052671883,0.850492585279455,0.850874118252379,0.850741791093582,0.850945749068883,0.850629951042947,0.850733173742425,0.84996005437474
60,"Sobol",0.850863445941741,0.85070273023739,0.850809233899903,0.850985713812508,0.851111777167367,0.85148036901962,0.850892487207834,0.851453036359606,0.851217556887243,0.851527348367428,0.851557037831535,0.850747322914364,0.851202667867015,0.850690259497943,0.850574560737915,0.850730279242946,0.850792533893863,0.851702733044935,0.85127048163765,0.850617140219469,0.850650078753739,0.85135425590293,0.850690391190311,0.851299297686263,0.850663790726565,0.850975828690091,0.851195006244939,0.851133934589062,0.851105884990379,0.851361817176349
70,"Sobol",0.851382042902709,0.851255040830522,0.850944040609676,0.851927075654023,0.851248678312639,0.851219181429392,0.852384893148649,0.850928538939728,0.851380302049905,0.85237682399752,0.850989860342456,0.851377152398647,0.852416095816,0.851163900879426,0.85008379933941,0.850130908014395,0.852312434777224,0.851320401321527,0.85165400211717,0.851419380932421,0.85031926155169,0.850890690835813,0.850523546805572,0.85027945035935,0.850813657649106,0.850692463298195,0.850709222965968,0.852002801173098,0.850185556034081,0.850972481193293
80,"Sobol",0.850568597347838,0.851071572729869,0.851136805657797,0.851171961722508,0.851083359991181,0.851163682477396,0.851830795924411,0.851749815121637,0.85108369306936,0.85046411837604,0.851725865808721,0.851735241429199,0.851168663633149,0.850570233215254,0.851150439891125,0.851150857833695,0.85113105835304,0.851013562236467,0.851179172696553,0.851069947825736,0.85111587006568,0.850597855566164,0.851172508988415,0.850528591898166,0.851830820142063,0.850977693459488,0.851099495191873,0.851779089786401,0.851120149521028,0.851136519629616
90,"Sobol",0.851915331486886,0.851539142449548,0.850570648651326,0.850899739627481,0.851485713622195,0.851900816185953,0.850826544106456,0.851132375572629,0.851063216721051,0.851274981285997,0.851059043586864,0.851341549426068,0.850682449579466,0.851193420404413,0.851360916385044,0.851333145660187,0.850847527424223,0.850842878869854,0.851170341166108,0.852225704641151,0.850879752379258,0.851029762782594,0.851792157987056,0.851964142049711,0.851439296965031,0.850713283368283,0.850750936704729,0.851292864878357,0.851042587721733,0.851180736801801
100,"Sobol",0.851390572361379,0.85099259196905,0.851351803914691,0.851204245467582,0.850863385513475,0.85121856459469,0.850863539745931,0.850969806245405,0.851370337333431,0.851127983665786,0.85141779281551,0.851354489376463,0.850775905946712,0.851143170224414,0.850743396340935,0.851182926004804,0.85102928107102,0.85100871315646,0.850747259881164,0.851045699844721,0.851192737469533,0.850793028861069,0.850966030764622,0.850833014634508,0.851109823720718,0.851137926520512,0.851158445692603,0.85107492888699,0.851055311340128,0.851304588719548
